,ID,innings,total_run,batters,bowlers,Venue
26,1304107,1,45,['G Gambhir' 'V Sehwag' 'S Dhawan' 'Shoaib Malik'],['B Lee' 'IK Pathan' 'S Sreesanth' 'VRV Singh'],"Maharashtra Cricket Association Stadium, Pune"
27,1304107,2,55,['K Goel' 'SM Katich' 'KC Sangakkara' 'DPMD Jayawardene'],['GD McGrath' 'Mohammad Asif' 'MF Maharoof'],"Maharashtra Cricket Association Stadium, Pune"
28,1304106,1,36,['PA Patel' 'ML Hayden' 'MEK Hussey'],['DW Steyn' 'Z Khan' 'P Kumar'],"Brabourne Stadium, Mumbai"
29,1304106,2,45,['B Chipli' 'W Jaffer' 'LRPL Taylor'],['JDP Oram' 'MS Gony'],"Brabourne Stadium, Mumbai"
30,1304105,1,40,['BB McCullum' 'SC Ganguly' 'RT Ponting' 'DB Das' 'DJ Hussey'],['SM Pollock' 'A Nehra' 'CRD Fernando' 'DS Kulkarni' 'DJ Bravo'],"Wankhede Stadium, Mumbai"
31,1304105,2,38,['AM Rahane' 'ST Jayasuriya' 'MK Pandey' 'RV Uthappa' 'DJ Bravo'],['AB Agarkar' 'I Sharma' 'AB Dinda'],"Wankhede Stadium, Mumbai"
32,1304104,1,58,['G Gambhir' 'V Sehwag' 'S Dhawan'],['DW Steyn' 'Z Khan' 'P Kumar'],"Dr DY Patil Sports Academy, Mumbai"
33,1304104,2,55,['P Kumar' 'LRPL Taylor' 'W Jaffer' 'JH Kallis' 'R Dravid'],['GD McGrath' 'Mohammad Asif' 'VY Mahesh'],"Dr DY Patil Sports Academy, Mumbai"
34,1304103,1,50,['AC Gilchrist' 'VVS Laxman' 'HH Gibbs'],['S Sreesanth' 'IK Pathan' 'VRV Singh'],"Maharashtra Cricket Association Stadium, Pune"
35,1304103,2,41,['SE Marsh' 'RR Sarwan'],['RP Singh' 'DNT Zoysa' 'Shahid Afridi' 'SB Bangar'],"Maharashtra Cricket Association Stadium, Pune"
36,1304102,1,45,['GC Smith' 'SA Asnodkar' 'M Kaif'],['AB Dinda' 'I Sharma' 'AB Agarkar' 'Umar Gul'],"Dr DY Patil Sports Academy, Mumbai"
37,1304102,2,51,['Salman Butt' 'SC Ganguly' 'AB Agarkar' 'BJ Hodge'],['SR Watson' 'Sohail Tanvir' 'SK Trivedi'],"Dr DY Patil Sports Academy, Mumbai"
38,1304101,1,47,['PA Patel' 'SP Fleming' 'S Vidyut'],['GD McGrath' 'Mohammad Asif' 'VY Mahesh' 'PJ Sangwan'],"Dr DY Patil Sports Academy, Mumbai"
39,1304101,2,64,['G Gambhir' 'V Sehwag'],['M Ntini' 'MS Gony' 'JA Morkel'],"Dr DY Patil Sports Academy, Mumbai"
40,1304100,1,41,['AC Gilchrist' 'HH Gibbs'],['A Kumble' 'DW Steyn' 'JH Kallis'],"Wankhede Stadium, Mumbai"
41,1304100,2,43,['JH Kallis' 'W Jaffer' 'Misbah-ul-Haq'],['WPUJC Vaas' 'RP Singh' 'SB Bangar' 'DP Vijaykumar'],"Wankhede Stadium, Mumbai"
42,1304099,1,49,['SE Marsh' 'JR Hopes' 'KC Sangakkara'],['I Sharma' 'AB Agarkar' 'AB Dinda'],"Maharashtra Cricket Association Stadium, Pune"
43,1304099,2,31,"['Mohammad Hafeez' 'SC Ganguly' 'BJ Hodge' 'DB Das' 'LR Shukla'
 'DJ Hussey']",['S Sreesanth' 'IK Pathan'],"Maharashtra Cricket Association Stadium, Pune"
44,1304098,1,50,['YV Takawale' 'ST Jayasuriya'],['GD McGrath' 'Mohammad Asif' 'VY Mahesh'],"Wankhede Stadium, Mumbai"
45,1304098,2,37,['G Gambhir' 'V Sehwag' 'S Dhawan' 'AB de Villiers'],['SM Pollock' 'A Nehra' 'DJ Bravo'],"Wankhede Stadium, Mumbai"
46,1304097,1,38,['PA Patel' 'S Vidyut' 'SP Fleming' 'SK Raina' 'S Badrinath' 'MS Dhoni'],['Sohail Tanvir' 'SR Watson' 'MM Patel' 'SK Trivedi'],"Brabourne Stadium, Mumbai"
47,1304097,2,44,['GC Smith' 'SA Asnodkar'],['M Ntini' 'MS Gony'],"Brabourne Stadium, Mumbai"
48,1304096,1,26,['W Jaffer' 'CL White' 'JH Kallis' 'V Kohli' 'R Dravid'],['S Sreesanth' 'IK Pathan' 'Gagandeep Singh'],"Brabourne Stadium, Mumbai"
49,1304096,2,52,['SE Marsh' 'JR Hopes' 'RR Sarwan'],['DW Steyn' 'Z Khan' 'P Kumar' 'JH Kallis'],"Brabourne Stadium, Mumbai"
50,1304095,1,34,['PA Patel' 'S Anirudha' 'SP Fleming' 'SK Raina' 'S Badrinath'],['DP Vijaykumar' 'RP Singh' 'SB Styris'],"Maharashtra Cricket Association Stadium, Pune"
51,1304095,2,50,['AC Gilchrist' 'HH Gibbs' 'SB Styris'],['M Ntini' 'MS Gony' 'JA Morkel'],"Maharashtra Cricket Association Stadium, Pune"
52,1304094,1,48,['GC Smith' 'SA Asnodkar' 'YK Pathan' 'SR Watson'],['SM Pollock' 'A Nehra' 'DS Kulkarni'],"Dr DY Patil Sports Academy, Mumbai"
53,1304094,2,34,['YV Takawale' 'ST Jayasuriya'],['Sohail Tanvir' 'MM Patel' 'SK Trivedi'],"Dr DY Patil Sports Academy, Mumbai"
54,1304093,1,50,['G Gambhir' 'V Sehwag' 'AB de Villiers' 'S Dhawan'],['MS Gony' 'JA Morkel'],"Wankhede Stadium, Mumbai"
55,1304093,2,62,['S Vidyut' 'SP Fleming'],['GD McGrath' 'Mohammad Asif' 'VY Mahesh' 'PJ Sangwan'],"Wankhede Stadium, Mumbai"
56,1304092,1,41,['A Chopra' 'BJ Hodge' 'SC Ganguly' 'DJ Hussey'],['DW Steyn' 'Z Khan' 'P Kumar' 'R Vinay Kumar'],"Maharashtra Cricket Association Stadium, Pune"
57,1304092,2,35,['J Arunkumar' 'S Chanderpaul' 'MV Boucher' 'R Dravid'],['AB Dinda' 'I Sharma' 'Umar Gul' 'SC Ganguly'],"Maharashtra Cricket Association Stadium, Pune"
58,1304091,1,50,['AC Gilchrist' 'HH Gibbs'],['Sohail Tanvir' 'SR Watson' 'MM Patel'],"Wankhede Stadium, Mumbai"
59,1304091,2,50,['GC Smith' 'YK Pathan'],['DP Vijaykumar' 'RP Singh' 'SB Styris' 'PP Ojha'],"Wankhede Stadium, Mumbai"
60,1304090,1,36,['MV Boucher' 'SP Goswami' 'Misbah-ul-Haq'],['SM Pollock' 'A Nehra' 'CRD Fernando'],"Dr DY Patil Sports Academy, Mumbai"
61,1304090,2,39,['ST Jayasuriya' 'SR Tendulkar'],['A Kumble' 'DW Steyn' 'P Kumar' 'R Vinay Kumar'],"Dr DY Patil Sports Academy, Mumbai"
62,1304089,1,53,['S Vidyut' 'SK Raina' 'SP Fleming' 'S Badrinath'],['S Sreesanth' 'IK Pathan' 'VRV Singh'],"Brabourne Stadium, Mumbai"
63,1304089,2,35,['SE Marsh' 'JR Hopes' 'K Goel' 'RR Sarwan'],['MS Gony' 'JA Morkel'],"Brabourne Stadium, Mumbai"
64,1304088,1,43,['Salman Butt' 'SC Ganguly' 'A Chopra'],['WPUJC Vaas' 'DP Vijaykumar' 'SB Styris' 'RP Singh'],"Maharashtra Cricket Association Stadium, Pune"
65,1304088,2,55,['AC Gilchrist' 'HH Gibbs' 'DB Ravi Teja' 'SB Styris' 'RG Sharma'],['AB Dinda' 'I Sharma' 'Umar Gul'],"Maharashtra Cricket Association Stadium, Pune"
66,1304087,1,47,['G Gambhir' 'V Sehwag'],['AD Mascarenhas' 'SR Watson' 'MM Patel'],"Wankhede Stadium, Mumbai"
67,1304087,2,21,['YK Pathan' 'GC Smith' 'M Kaif' 'SR Watson'],['GD McGrath' 'MF Maharoof' 'PJ Sangwan'],"Wankhede Stadium, Mumbai"
68,1304086,1,50,['J Arunkumar' 'V Kohli' 'Misbah-ul-Haq' 'R Dravid' 'CL White'],['S Sreesanth' 'IK Pathan' 'PP Chawla'],"Wankhede Stadium, Mumbai"
69,1304086,2,42,['SE Marsh' 'JR Hopes'],['DW Steyn' 'Z Khan' 'P Kumar'],"Wankhede Stadium, Mumbai"
70,1304085,1,35,['Salman Butt' 'A Chopra'],['GD McGrath' 'PJ Sangwan' 'VY Mahesh'],"Maharashtra Cricket Association Stadium, Pune"
71,1304085,2,37,"['G Gambhir' 'V Sehwag' 'AB de Villiers' 'MK Tiwary' 'TM Dilshan'
 'S Dhawan']",['Shoaib Akhtar' 'I Sharma' 'AB Dinda'],"Maharashtra Cricket Association Stadium, Pune"
72,1304084,1,28,['S Vidyut' 'SP Fleming' 'SK Raina' 'S Badrinath'],['SM Pollock' 'A Nehra' 'DJ Bravo'],"Wankhede Stadium, Mumbai"
73,1304084,2,78,['ST Jayasuriya' 'SR Tendulkar'],['MS Gony' 'JA Morkel'],"Wankhede Stadium, Mumbai"
74,1304083,1,51,['SE Marsh' 'JR Hopes'],['MM Patel' 'SR Watson' 'Pankaj Singh'],"Wankhede Stadium, Mumbai"
75,1304083,2,38,['M Kaif' 'NK Patel' 'Younis Khan' 'SR Watson'],['IK Pathan' 'S Sreesanth' 'JR Hopes'],"Wankhede Stadium, Mumbai"
76,1304082,1,48,['G Gambhir' 'V Sehwag' 'S Dhawan'],['DP Vijaykumar' 'RP Singh' 'PM Sarvesh Kumar'],"Brabourne Stadium, Mumbai"
77,1304082,2,71,['AC Gilchrist' 'Shahid Afridi' 'HH Gibbs'],['GD McGrath' 'Mohammad Asif' 'MF Maharoof'],"Brabourne Stadium, Mumbai"
78,1304081,1,27,['Salman Butt' 'A Chopra' 'SC Ganguly' 'DJ Hussey' 'Mohammad Hafeez'],['SM Pollock' 'A Nehra' 'DJ Bravo'],"Dr DY Patil Sports Academy, Mumbai"
79,1304081,2,68,['ST Jayasuriya' 'SR Tendulkar' 'RV Uthappa' 'DJ Thornely'],['Shoaib Akhtar' 'I Sharma' 'AB Agarkar'],"Dr DY Patil Sports Academy, Mumbai"
80,1304080,1,68,['G Gambhir' 'V Sehwag'],['S Sreesanth' 'IK Pathan' 'VRV Singh'],"Wankhede Stadium, Mumbai"
81,1304080,2,73,['SE Marsh' 'JR Hopes' 'Yuvraj Singh' 'LA Pomersbach' 'DPMD Jayawardene'],['GD McGrath' 'PJ Sangwan' 'A Mishra' 'V Sehwag'],"Wankhede Stadium, Mumbai"
82,1304079,1,51,['GC Smith' 'SA Asnodkar'],['Z Khan' 'P Kumar' 'JH Kallis'],"Dr DY Patil Sports Academy, Mumbai"
83,1304079,2,23,['J Arunkumar' 'V Kohli' 'Misbah-ul-Haq' 'JH Kallis' 'CL White'],['Sohail Tanvir' 'MM Patel'],"Dr DY Patil Sports Academy, Mumbai"
84,1304078,1,57,['ST Jayasuriya' 'SR Tendulkar' 'DJ Thornely'],['DP Vijaykumar' 'DNT Zoysa' 'Y Venugopal Rao' 'RP Singh'],"Brabourne Stadium, Mumbai"
85,1304078,2,32,['AC Gilchrist' 'Shahid Afridi' 'RG Sharma' 'Y Venugopal Rao' 'LPC Silva'],['A Nehra' 'DJ Bravo' 'CRD Fernando' 'RR Raje'],"Brabourne Stadium, Mumbai"
86,1304077,1,35,['Salman Butt' 'Mohammad Hafeez' 'SC Ganguly' 'DB Das'],['M Ntini' 'MS Gony'],"Dr DY Patil Sports Academy, Mumbai"
87,1304077,2,43,['PA Patel' 'SP Fleming'],['Shoaib Akhtar' 'I Sharma' 'AB Dinda' 'AB Agarkar'],"Dr DY Patil Sports Academy, Mumbai"
88,1304076,1,41,['JH Kallis' 'B Chipli' 'SP Goswami'],['GD McGrath' 'PJ Sangwan' 'VY Mahesh'],"Brabourne Stadium, Mumbai"
89,1304076,2,71,['G Gambhir' 'V Sehwag'],['DW Steyn' 'Z Khan' 'P Kumar' 'JH Kallis'],"Brabourne Stadium, Mumbai"
90,1304075,1,32,['Salman Butt' 'Mohammad Hafeez' 'SC Ganguly'],['Sohail Tanvir' 'MM Patel' 'SR Watson'],"Maharashtra Cricket Association Stadium, Pune"
91,1304075,2,42,['GC Smith' 'SA Asnodkar' 'Sohail Tanvir' 'SR Watson'],['AB Dinda' 'I Sharma' 'AB Agarkar' 'Umar Gul'],"Maharashtra Cricket Association Stadium, Pune"
92,1304074,1,43,['SE Marsh' 'JR Hopes' 'LA Pomersbach'],['SM Pollock' 'A Nehra' 'VS Yeligati'],"Dr DY Patil Sports Academy, Mumbai"
93,1304074,2,68,['ST Jayasuriya' 'SR Tendulkar' 'DR Smith'],['S Sreesanth' 'IK Pathan' 'VRV Singh'],"Dr DY Patil Sports Academy, Mumbai"
94,1304073,1,23,['JH Kallis' 'SP Goswami' 'V Kohli' 'R Dravid'],['M Ntini' 'MS Gony'],"Wankhede Stadium, Mumbai"
95,1304073,2,44,['PA Patel' 'SP Fleming'],['DW Steyn' 'P Kumar' 'A Kumble' 'JH Kallis'],"Wankhede Stadium, Mumbai"
96,1304072,1,42,['AC Gilchrist' 'HH Gibbs'],['S Sreesanth' 'VRV Singh' 'RR Powar'],"Brabourne Stadium, Mumbai"
97,1304072,2,74,['SE Marsh' 'KC Sangakkara'],['RP Singh' 'DP Vijaykumar' 'Y Venugopal Rao' 'SB Styris'],"Brabourne Stadium, Mumbai"
98,1304071,1,60,['ST Jayasuriya' 'SR Tendulkar'],['GD McGrath' 'B Geeves' 'MF Maharoof' 'VY Mahesh'],"Brabourne Stadium, Mumbai"
99,1304071,2,56,['G Gambhir' 'V Sehwag' 'S Dhawan' 'MK Tiwary'],['SM Pollock' 'A Nehra' 'A Nel' 'DS Kulkarni'],"Brabourne Stadium, Mumbai"
100,1304070,1,67,['GC Smith' 'SA Asnodkar'],['M Ntini' 'MS Gony' 'JA Morkel'],"Dr DY Patil Sports Academy, Mumbai"
101,1304070,2,65,['PA Patel' 'SP Fleming' 'SK Raina'],['Sohail Tanvir' 'YK Pathan' 'MM Patel' 'Pankaj Singh'],"Dr DY Patil Sports Academy, Mumbai"
102,1304069,1,46,['B Chipli' 'W Jaffer' 'V Kohli'],['DP Vijaykumar' 'RP Singh' 'SB Styris' 'Shahid Afridi'],"Maharashtra Cricket Association Stadium, Pune"
103,1304069,2,33,['AC Gilchrist' 'VVS Laxman' 'HH Gibbs' 'RG Sharma'],['DW Steyn' 'Z Khan' 'P Kumar'],"Maharashtra Cricket Association Stadium, Pune"
104,1304068,1,47,['SE Marsh' 'JR Hopes' 'KC Sangakkara'],['Umar Gul' 'I Sharma' 'BAW Mendis'],"Dr DY Patil Sports Academy, Mumbai"
105,1304068,2,51,['Salman Butt' 'SC Ganguly' 'DB Das' 'DJ Hussey'],['IK Pathan' 'S Sreesanth' 'RR Powar'],"Dr DY Patil Sports Academy, Mumbai"
106,1304067,1,29,['ST Jayasuriya' 'SR Tendulkar'],['Sohail Tanvir' 'SR Watson' 'Pankaj Singh' 'YK Pathan'],"Dr DY Patil Sports Academy, Mumbai"
107,1304067,2,36,['Kamran Akmal' 'SA Asnodkar' 'YK Pathan' 'SR Watson'],['SM Pollock' 'A Nehra' 'CRD Fernando'],"Dr DY Patil Sports Academy, Mumbai"
108,1304066,1,26,['AC Gilchrist' 'HH Gibbs' 'SB Styris' 'Y Venugopal Rao'],['M Ntini' 'MS Gony'],"Wankhede Stadium, Mumbai"
109,1304066,2,44,['PA Patel' 'SP Fleming' 'SK Raina'],['RP Singh' 'DP Vijaykumar' 'Shahid Afridi'],"Wankhede Stadium, Mumbai"
110,1304065,1,58,['GC Smith' 'SA Asnodkar'],['GD McGrath' 'Mohammad Asif' 'VY Mahesh'],"Brabourne Stadium, Mumbai"
111,1304065,2,28,['G Gambhir' 'V Sehwag' 'S Dhawan' 'MK Tiwary' 'TM Dilshan'],['Sohail Tanvir' 'SR Watson' 'MM Patel'],"Brabourne Stadium, Mumbai"
112,1304064,1,35,"['SE Marsh' 'JR Hopes' 'KC Sangakkara' 'Yuvraj Singh' 'DPMD Jayawardene'
 'IK Pathan']",['M Muralitharan' 'M Ntini' 'MS Gony'],"Maharashtra Cricket Association Stadium, Pune"
113,1304064,2,35,['PA Patel' 'S Vidyut' 'SK Raina'],['IK Pathan' 'S Sreesanth' 'RR Powar' 'VRV Singh'],"Maharashtra Cricket Association Stadium, Pune"
114,1304063,1,42,['PA Patel' 'S Vidyut' 'SK Raina'],['Sohail Tanvir' 'SR Watson' 'MM Patel' 'YK Pathan'],"Dr DY Patil Sports Academy, Mumbai"
115,1304063,2,41,['NK Patel' 'SA Asnodkar' 'Kamran Akmal'],['M Ntini' 'MS Gony'],"Dr DY Patil Sports Academy, Mumbai"
116,1304062,1,40,['ST Jayasuriya' 'SR Tendulkar' 'S Dhawan'],['MS Gony' 'T Thushara' 'A Flintoff'],"Brabourne Stadium, Mumbai"
117,1304062,2,40,['PA Patel' 'SK Raina' 'ML Hayden' 'A Flintoff'],['SL Malinga' 'Z Khan' 'DJ Bravo'],"Brabourne Stadium, Mumbai"
118,1304061,1,29,['JD Ryder' 'LRPL Taylor' 'KP Pietersen' 'RV Uthappa' 'R Dravid'],['AD Mascarenhas' 'Kamran Khan' 'MM Patel'],"Dr DY Patil Sports Academy, Mumbai"
119,1304061,2,14,['GC Smith' 'SA Asnodkar' 'NK Patel' 'T Henderson'],['P Kumar' 'DW Steyn' 'R Vinay Kumar'],"Dr DY Patil Sports Academy, Mumbai"
120,1304060,1,67,['RS Bopara' 'K Goel'],['DP Nannes' 'AM Salvi' 'PJ Sangwan' 'VY Mahesh'],"Maharashtra Cricket Association Stadium, Pune"
121,1304060,2,58,['G Gambhir' 'V Sehwag'],['IK Pathan' 'YA Abdulla' 'VS Malik' 'VRV Singh' 'PP Chawla'],"Maharashtra Cricket Association Stadium, Pune"
122,1304059,1,21,['BB McCullum' 'CH Gayle' 'SC Ganguly' 'BJ Hodge' 'A Chopra'],['FH Edwards' 'RP Singh' 'Harmeet Singh'],"Wankhede Stadium, Mumbai"
123,1304059,2,37,['AC Gilchrist' 'HH Gibbs' 'VVS Laxman' 'RG Sharma'],['AB Dinda' 'I Sharma'],"Wankhede Stadium, Mumbai"
124,1304058,1,68,['PA Patel' 'ML Hayden'],['P Kumar' 'DW Steyn' 'JH Kallis' 'R Vinay Kumar'],"Dr DY Patil Sports Academy, Mumbai"
125,1304058,2,46,['P Kumar' 'JH Kallis' 'RV Uthappa' 'LRPL Taylor'],['MS Gony' 'L Balaji' 'JA Morkel'],"Dr DY Patil Sports Academy, Mumbai"
126,1304057,1,46,['RS Bopara' 'K Goel' 'IK Pathan'],['I Sharma' 'AB Dinda' 'MC Henriques'],"Brabourne Stadium, Mumbai"
127,1304057,2,60,['BB McCullum' 'CH Gayle' 'BJ Hodge'],['IK Pathan' 'YA Abdulla' 'VS Malik'],"Brabourne Stadium, Mumbai"
128,1304056,1,62,['AC Gilchrist' 'HH Gibbs' 'VVS Laxman'],['P Kumar' 'DW Steyn' 'JH Kallis'],"Maharashtra Cricket Association Stadium, Pune"
129,1304056,2,31,['JD Ryder' 'JH Kallis' 'RV Uthappa' 'KP Pietersen'],['FH Edwards' 'RP Singh' 'Harmeet Singh'],"Maharashtra Cricket Association Stadium, Pune"
130,1304055,1,59,['G Gambhir' 'AB de Villiers' 'V Sehwag' 'TM Dilshan'],['L Balaji' 'MS Gony' 'JA Morkel' 'A Flintoff'],"Dr DY Patil Sports Academy, Mumbai"
131,1304055,2,61,['PA Patel' 'ML Hayden' 'SK Raina'],['DP Nannes' 'A Nehra' 'AM Salvi' 'PJ Sangwan'],"Dr DY Patil Sports Academy, Mumbai"
132,1304054,1,54,['GC Smith' 'PC Valthaty' 'RJ Quiney' 'YK Pathan'],['I Sharma' 'Anureet Singh' 'AB Agarkar'],"Wankhede Stadium, Mumbai"
133,1304054,2,38,['CH Gayle' 'BB McCullum' 'LR Shukla'],['YK Pathan' 'AD Mascarenhas'],"Wankhede Stadium, Mumbai"
134,1304053,1,49,['JD Ryder' 'RV Uthappa' 'JH Kallis' 'KP Pietersen' 'R Dravid'],['RR Bose' 'IK Pathan' 'YA Abdulla'],"Brabourne Stadium, Mumbai"
135,1304053,2,44,['RS Bopara' 'K Goel'],['P Kumar' 'Pankaj Singh' 'JH Kallis' 'R Vinay Kumar'],"Brabourne Stadium, Mumbai"
136,1304052,1,55,['AC Gilchrist' 'HH Gibbs'],['SL Malinga' 'Z Khan' 'DJ Bravo' 'Harbhajan Singh'],"Dr DY Patil Sports Academy, Mumbai"
137,1304052,2,50,['ST Jayasuriya' 'SR Tendulkar' 'JP Duminy'],['FH Edwards' 'RP Singh' 'Harmeet Singh'],"Dr DY Patil Sports Academy, Mumbai"
138,1304051,1,45,['JH Kallis' 'KP Pietersen' 'RV Uthappa' 'LRPL Taylor'],['DP Nannes' 'A Nehra' 'PJ Sangwan'],"Maharashtra Cricket Association Stadium, Pune"
139,1304051,2,43,['G Gambhir' 'V Sehwag' 'TM Dilshan' 'AB de Villiers'],['R Vinay Kumar' 'Pankaj Singh' 'JH Kallis'],"Maharashtra Cricket Association Stadium, Pune"
140,1304050,1,38,['RS Bopara' 'KC Sangakkara' 'Yuvraj Singh'],['Kamran Khan' 'AD Mascarenhas' 'MM Patel' 'YK Pathan'],"Wankhede Stadium, Mumbai"
141,1304050,2,32,"['SA Asnodkar' 'GC Smith' 'RJ Quiney' 'YK Pathan' 'AD Mascarenhas'
 'RA Jadeja']",['RR Powar' 'IK Pathan' 'YA Abdulla' 'VRV Singh'],"Wankhede Stadium, Mumbai"
142,1304049,1,62,['PA Patel' 'SK Raina' 'ML Hayden'],['FH Edwards' 'RP Singh' 'DR Smith' 'Y Venugopal Rao'],"Dr DY Patil Sports Academy, Mumbai"
143,1304049,2,69,['AC Gilchrist' 'HH Gibbs' 'VVS Laxman'],['L Balaji' 'MS Gony' 'JA Morkel' 'M Muralitharan' 'SK Raina'],"Dr DY Patil Sports Academy, Mumbai"
144,1304048,1,61,['ST Jayasuriya' 'SR Tendulkar'],['I Sharma' 'AB Dinda' 'SC Ganguly'],"Brabourne Stadium, Mumbai"
145,1304048,2,47,['BB McCullum' 'CH Gayle' 'BJ Hodge' 'SC Ganguly'],['Z Khan' 'SL Malinga' 'DJ Bravo' 'Harbhajan Singh'],"Brabourne Stadium, Mumbai"
146,1304047,1,42,['G Gambhir' 'V Sehwag' 'AB de Villiers' 'TM Dilshan'],['AD Mascarenhas' 'Kamran Khan' 'MM Patel'],"Wankhede Stadium, Mumbai"
147,1304047,2,33,['RJ Quiney' 'GC Smith' 'SA Asnodkar' 'PC Valthaty'],['DP Nannes' 'A Nehra' 'PJ Sangwan'],"Wankhede Stadium, Mumbai"
148,1254117,1,45,['BB McCullum' 'BJ Hodge' 'CH Gayle' 'SC Ganguly'],['KP Pietersen' 'RE van der Merwe' 'Pankaj Singh' 'P Kumar' 'A Kumble'],Dubai International Cricket Stadium
149,1254117,2,46,['JH Kallis' 'SP Goswami'],['I Sharma' 'AB Agarkar' 'M Kartik' 'CH Gayle'],Dubai International Cricket Stadium
